time,Np,dp,dm ,dg,np
0.00076364,9.69233E+17,2.00E-09,3.13202E-09,2.57E-09,2.709417932
0.00076667,9.66089E+17,2.00E-09,3.1366E-09,2.58E-09,2.718234518
0.0007697,9.62959E+17,2.00E-09,3.14118E-09,2.58E-09,2.727070157
0.00077273,9.59842E+17,2.00E-09,3.14577E-09,2.59E-09,2.735924868
0.00077576,9.56739E+17,2.00E-09,3.15036E-09,2.59E-09,2.744798668
0.00077879,9.5365E+17,2.00E-09,3.15495E-09,2.60E-09,2.753691576
0.00078182,9.50573E+17,2.00E-09,3.15954E-09,2.60E-09,2.76260361
0.00078485,9.4751E+17,2.00E-09,3.16413E-09,2.61E-09,2.771534789
0.00078788,9.4446E+17,2.00E-09,3.16872E-09,2.61E-09,2.780485131
0.00079091,9.41423E+17,2.00E-09,3.17332E-09,2.62E-09,2.789454654
0.00079394,9.38399E+17,2.00E-09,3.17792E-09,2.62E-09,2.798443376
0.00079697,9.35388E+17,2.00E-09,3.18252E-09,2.63E-09,2.807451316
0.0008,9.3239E+17,2.00E-09,3.18712E-09,2.63E-09,2.816478492
0.00080303,9.29405E+17,2.00E-09,3.19172E-09,2.64E-09,2.825524922
0.00080606,9.26432E+17,2.00E-09,3.19632E-09,2.64E-09,2.834590625
0.00080909,9.23473E+17,2.00E-09,3.20093E-09,2.65E-09,2.843675618
0.00081212,9.20525E+17,2.00E-09,3.20554E-09,2.65E-09,2.852779919
0.00081515,9.17591E+17,2.00E-09,3.21015E-09,2.66E-09,2.861903548
0.00081818,9.14669E+17,2.00E-09,3.21476E-09,2.66E-09,2.871046521
0.00082121,9.11759E+17,2.00E-09,3.21937E-09,2.67E-09,2.880208858
0.00082424,9.08862E+17,2.00E-09,3.22398E-09,2.67E-09,2.889390576
0.00082727,9.05977E+17,2.00E-09,3.2286E-09,2.67E-09,2.898591693
0.0008303,9.03104E+17,2.00E-09,3.23322E-09,2.68E-09,2.907812228
0.00083333,9.00243E+17,2.00E-09,3.23784E-09,2.68E-09,2.917052198
0.00083636,8.97395E+17,2.00E-09,3.24246E-09,2.69E-09,2.926311622
0.00083939,8.94558E+17,2.00E-09,3.24708E-09,2.69E-09,2.935590518
0.00084242,8.91734E+17,2.00E-09,3.2517E-09,2.70E-09,2.944888903
0.00084545,8.88921E+17,2.00E-09,3.25633E-09,2.70E-09,2.954206796
0.00084848,8.8612E+17,2.00E-09,3.26096E-09,2.71E-09,2.963544215
0.00085152,8.83331E+17,2.00E-09,3.26559E-09,2.71E-09,2.972901178
0.00085455,8.80554E+17,2.00E-09,3.27022E-09,2.72E-09,2.982277703
0.00085758,8.77788E+17,2.00E-09,3.27485E-09,2.72E-09,2.991673807
0.00086061,8.75034E+17,2.00E-09,3.27948E-09,2.73E-09,3.00108951
0.00086364,8.72292E+17,2.00E-09,3.28412E-09,2.73E-09,3.010524827
0.00086667,8.69561E+17,2.00E-09,3.28876E-09,2.74E-09,3.019979779
0.0008697,8.66841E+17,2.00E-09,3.2934E-09,2.74E-09,3.029454382
0.00087273,8.64133E+17,2.00E-09,3.29804E-09,2.75E-09,3.038948655
0.00087576,8.61436E+17,2.00E-09,3.30268E-09,2.76E-09,3.048462615
0.00087879,8.58751E+17,2.00E-09,3.30732E-09,2.76E-09,3.05799628
0.00088182,8.56076E+17,2.00E-09,3.31197E-09,2.77E-09,3.067549668
0.00088485,8.53413E+17,2.00E-09,3.31662E-09,2.77E-09,3.077122798
0.00088788,8.50761E+17,2.00E-09,3.32126E-09,2.78E-09,3.086715686
0.00089091,8.4812E+17,2.00E-09,3.32592E-09,2.78E-09,3.096328351
0.00089394,8.45489E+17,2.00E-09,3.33057E-09,2.79E-09,3.10596081
0.00089697,8.4287E+17,2.00E-09,3.33522E-09,2.79E-09,3.115613082
0.0009,8.40261E+17,2.00E-09,3.33988E-09,2.80E-09,3.125285184
0.00090303,8.37664E+17,2.00E-09,3.34453E-09,2.80E-09,3.134977133
0.00090606,8.35077E+17,2.00E-09,3.34919E-09,2.81E-09,3.144688948
0.00090909,8.325E+17,2.00E-09,3.35385E-09,2.81E-09,3.154420647
0.00091212,8.29935E+17,2.00E-09,3.35851E-09,2.82E-09,3.164172247
0.00091515,8.2738E+17,2.00E-09,3.36318E-09,2.82E-09,3.173943766
0.00091818,8.24835E+17,2.00E-09,3.36784E-09,2.83E-09,3.183735221
0.00092121,8.22301E+17,2.00E-09,3.37251E-09,2.83E-09,3.19354663
0.00092424,8.19777E+17,2.00E-09,3.37718E-09,2.84E-09,3.203378012
0.00092727,8.17264E+17,2.00E-09,3.38185E-09,2.84E-09,3.213229383
0.0009303,8.14761E+17,2.00E-09,3.38652E-09,2.85E-09,3.223100761
0.00093333,8.12268E+17,2.00E-09,3.39119E-09,2.85E-09,3.232992164
0.00093636,8.09786E+17,2.00E-09,3.39586E-09,2.86E-09,3.24290361
0.00093939,8.07313E+17,2.00E-09,3.40054E-09,2.86E-09,3.252835116
0.00094242,8.04851E+17,2.00E-09,3.40522E-09,2.87E-09,3.2627867
0.00094545,8.02399E+17,2.00E-09,3.4099E-09,2.87E-09,3.272758379
0.00094848,7.99956E+17,2.00E-09,3.41458E-09,2.88E-09,3.282750171
0.00095152,7.97524E+17,2.00E-09,3.41926E-09,2.88E-09,3.292762094
0.00095455,7.95102E+17,2.00E-09,3.42394E-09,2.89E-09,3.302794164
0.00095758,7.92689E+17,2.00E-09,3.42863E-09,2.89E-09,3.3128464
0.00096061,7.90286E+17,2.00E-09,3.43332E-09,2.90E-09,3.322918819
0.00096364,7.87893E+17,2.00E-09,3.43801E-09,2.90E-09,3.333011439
0.00096667,7.8551E+17,2.00E-09,3.4427E-09,2.91E-09,3.343124277
0.0009697,7.83136E+17,2.00E-09,3.44739E-09,2.91E-09,3.353257351
0.00097273,7.80772E+17,2.00E-09,3.45208E-09,2.92E-09,3.363410677
0.00097576,7.78417E+17,2.00E-09,3.45678E-09,2.92E-09,3.373584274
0.00097879,7.76072E+17,2.00E-09,3.46147E-09,2.93E-09,3.383778159
0.00098182,7.73737E+17,2.00E-09,3.46617E-09,2.93E-09,3.39399235
0.00098485,7.71411E+17,2.00E-09,3.47087E-09,2.94E-09,3.404226863
0.00098788,7.69094E+17,2.00E-09,3.47557E-09,2.94E-09,3.414481716
0.00099091,7.66786E+17,2.00E-09,3.48027E-09,2.95E-09,3.424756927
0.00099394,7.64488E+17,2.00E-09,3.48498E-09,2.95E-09,3.435052513
0.00099697,7.62199E+17,2.00E-09,3.48968E-09,2.96E-09,3.445368491
