t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
9.823884261043319e-05,5.14651336091603e-07,2.7304651387093002e-05,2.0225191848863808e+18,3.5452598546844106e-05,2.62605662670946e+18,1.2984087598936591,1.9999369869583437,2.2493211088531417,1.743659774304761
0.00010025882620283485,5.135966754412686e-07,2.7169484411230323e-05,2.0125070518629732e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3048682856929745,1.9999369869583437,2.254349859794118,1.7475580308481533
0.00010258688298806031,5.125131388441309e-07,2.7015026051127806e-05,2.0010659610339907e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3123288676363891,1.9999369869583437,2.260140925444974,1.7520472290271116
0.00010483362126397512,5.116030429184993e-07,2.68672907476155e-05,1.9901228626804298e+18,3.5452598546844106e-05,2.62605662670946e+18,1.319544976822442,1.9999369869583437,2.265725024274618,1.7563759878097813
0.00010641714748441785,5.110407269586323e-07,2.6763940239540727e-05,1.982467449601331e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3246404763102428,1.9999369869583437,2.2696580045082952,1.7594248096963527
0.0001080913862781728,5.10515238983392e-07,2.665535937112827e-05,1.97442461153823e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3300364123113102,1.9999369869583437,2.273813817063645,1.762646369816779
0.00010846121440247569,5.104084434229887e-07,2.6631469614365136e-05,1.972655041559448e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3312295213224288,1.9999369869583437,2.274731466729591,1.7633577261469697
0.00010894509177062243,5.102736522791912e-07,2.660026432331395e-05,1.9703435929008937e+18,3.5452598546844106e-05,2.62605662670946e+18,1.332791212746389,1.9999369869583437,2.2759319189796465,1.7642883092865476
0.00011015286712493197,5.099610168872195e-07,2.652262954253901e-05,1.964593003695203e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3366924455956575,1.9999369869583437,2.2789273707491797,1.7666103649218448
0.0001119556723820188,5.095544981311216e-07,2.6407419294546677e-05,1.95605911203123e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3425241653267241,1.9999369869583437,2.283396140257385,1.7700745273313063
0.00011388373070904253,5.091929256508752e-07,2.62850882225606e-05,1.946997764332921e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3487722866539589,1.9999369869583437,2.2881721616578026,1.7737768695021723
0.0001155856740693992,5.089298898077195e-07,2.617785530022386e-05,1.9390547717781798e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3542972921292347,1.9999369869583437,2.2923853106788235,1.7770428764952118
0.00011698746620254611,5.087481984878849e-07,2.6090058419926045e-05,1.9325514521694392e+18,3.5452598546844106e-05,2.62605662670946e+18,1.358854701519852,1.9999369869583437,2.295853499806633,1.7797313951989404
0.00011775495717934763,5.086607489893666e-07,2.604218842473901e-05,1.929005610024318e+18,3.5452598546844106e-05,2.62605662670946e+18,1.36135250880704,1.9999369869583437,2.297751617821128,1.7812028045125023
0.00011807583560912059,5.086265314708725e-07,2.602221622132166e-05,1.9275262223550385e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3623973548338875,1.9999369869583437,2.2985450424119955,1.7818178623348804
0.00011904178973111862,5.085313557149314e-07,2.5962240736337467e-05,1.9230836983585324e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3655446348752045,1.9999369869583437,2.3009329717517897,1.7836689703502244
0.0001207337288505043,5.083903919871977e-07,2.585772085780883e-05,1.9153416672837064e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3710643231782627,1.9999369869583437,2.305113615098776,1.7869097791463378
0.00012300881128120912,5.082444924668748e-07,2.5718234851579143e-05,1.9050096136118518e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3785004589717111,1.9999369869583437,2.310731177572114,1.7912644787380727
0.00012576382218292323,5.081201050107974e-07,2.555092937925668e-05,1.8926169072296486e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3875267713598716,1.9999369869583437,2.317527677121406,1.7965330830398496
0.00012857792577605987,5.080362731758679e-07,2.5381825999972013e-05,1.8800910256872084e+18,3.5452598546844106e-05,2.62605662670946e+18,1.3967710024835565,1.9999369869583437,2.324463103644618,1.8019093826702466
0.00013150245187870972,5.079813498209389e-07,2.5207976768653896e-05,1.8672136078204175e+18,3.5452598546844106e-05,2.62605662670946e+18,1.406403967768226,1.9999369869583437,2.331663367871333,1.8074909828459946
0.0001335128780730072,5.079569979192967e-07,2.5089568676729913e-05,1.85844284440114e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4130413720394366,1.9999369869583437,2.3366087962028477,1.8113246482192615
0.00013552330426730468,5.079405320346827e-07,2.4972047990674054e-05,1.8497378132033661e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4196912708194407,1.9999369869583437,2.3415507379933342,1.815155610847546
0.00013753373046160216,5.079299851546038e-07,2.4855405591493424e-05,1.8410978387620326e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4263536523812548,1.9999369869583437,2.346489205498352,1.8189838802312808
0.00013954415665589964,5.079238541839626e-07,2.473963247912505e-05,1.8325222544214935e+18,3.5452598546844106e-05,2.62605662670946e+18,1.433028505041799,1.9999369869583437,2.3514242108961354,1.8228094658109575
0.00014168247306550681,5.079209042509655e-07,2.461743867564062e-05,1.8234710745211223e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4401416416211108,1.9999369869583437,2.3566693632765,1.8268754754081393
0.0001446114651699124,5.079210426902794e-07,2.4451622379670204e-05,1.8111886749031037e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4499078219169799,1.9999369869583437,2.3638476840964686,1.832440065191061
0.00014865691660855663,5.079261738484171e-07,2.422552230850204e-05,1.794440915513729e+18,3.5452598546844106e-05,2.62605662670946e+18,1.463440007417379,1.9999369869583437,2.3737502743927683,1.8401164917773398
0.00015279563408706639,5.07934563662847e-07,2.399765166706432e-05,1.7775620058566728e+18,3.5452598546844106e-05,2.62605662670946e+18,1.477336159333506,1.9999369869583437,2.383866934784795,1.8479588641742597
0.00015356553169418728,5.079363116464444e-07,2.3955640738742598e-05,1.7744501584537892e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4799269588939816,1.9999369869583437,2.3857472891557148,1.8494165032214842
0.0001549633030394718,5.079395726788853e-07,2.387966880750171e-05,1.7688227403897667e+18,3.5452598546844106e-05,2.62605662670946e+18,1.4846352699710308,1.9999369869583437,2.389159865014557,1.852061910863998
0.0001575533684747936,5.079457979442765e-07,2.3739908114983013e-05,1.7584703400640957e+18,3.5452598546844106e-05,2.62605662670946e+18,1.493375558790341,1.9999369869583437,2.395479066301702,1.8569605165129472
0.00016050259905421176,5.079529716960047e-07,2.3582353824582242e-05,1.7467999264602307e+18,3.5452598546844106e-05,2.62605662670946e+18,1.5033528379125718,1.9999369869583437,2.4026677945926482,1.817866861179652
0.00016407485282849467,5.079615248921689e-07,2.339374560067147e-05,1.7328292756037542e+18,3.5452598546844106e-05,2.62605662670946e+18,1.5154733727559435,1.9999369869583437,2.4113655490115384,1.826491566704188
0.00016829341090067936,5.079711784513274e-07,2.3174103659805632e-05,1.7165598849820221e+18,3.5452598546844106e-05,2.62605662670946e+18,1.5298368846228532,1.9999369869583437,2.421623484986602,1.8366744658777039
0.00017171869290500552,5.079785460231485e-07,2.2998180833756964e-05,1.7035288711192686e+18,3.5452598546844106e-05,2.62605662670946e+18,1.5415392549138678,1.9999369869583437,2.429941829483163,1.8449407652342538
0.00017560556252296504,5.079863387400028e-07,2.2801125276868002e-05,1.688932506615425e+18,3.5452598546844106e-05,2.62605662670946e+18,1.5548617937208198,1.9999369869583437,2.4393696649959677,1.8543191129487298
0.000180873287753715,5.079959146146452e-07,2.253834344713683e-05,1.6694676438513436e+18,3.5452598546844106e-05,2.62605662670946e+18,1.572990429842254,1.9999369869583437,2.452127503606026,1.867025994057395
0.00018617846502581137,5.080044458774593e-07,2.2278556851536754e-05,1.650224645062286e+18,3.5452598546844106e-05,2.62605662670946e+18,1.5913328131215385,1.9999369869583437,2.4649537240121138,1.879819465763518
